Dati presi il 23 maggio

-------------- Rivelatori con asse orientato in direzione NORD-SUD --------------

N.B. Angoli est   --> positivi
N.B. Angoli ovest --> negativi	

theta = 0°

 I prova
615378 180325 11516 
671057 196791 12548 
727040 212923 13586 
783814 229840 14687 
839886 246211 15789 
895504 262963 16864 
951366 279875 17958 
1006072 295548 18954  

 II prova
51955 16350 1047 
97152 31831 1974 
147698 48213 2974 
202068 64313 3911 
257298 80662 4900 
312358 97024 5918 
366222 113160 6888 
421133 129523 7977 
475729 145947 9026 
528977 162190 9990 
583930 178820 10962 
638458 195375 12034 
693361 211733 13088 
749077 228347 14148 
803719 244826 15183 
858679 261256 16240 
913807 277357 17331 
968570 293869 18342  

* Rotazioni verso Nord

theta = -10°	

52159 16149 978 
104997 32385 1985 
157108 48984 2982 
209131 65223 3954 
260981 81223 4964 
313555 97892 6021 
366580 114397 7065 
418945 130193 8044 
471141 146118 9045 
524017 162753 10115 
576796 179522 11195 
630014 195753 12201 
682244 212125 13185 
735017 227900 14131 
788233 244099 15186 
841471 260455 16202 
894411 276814 17207 
947729 293200 18258 

theta = -20°	

49130 16396 1060 
98181 31944 1978 
148271 48367 3020 
197512 64251 3990 
247129 80571 5028 
296620 96697 6073 
347070 112805 7087 
397141 128898 8140 
446917 145157 9142 
496177 161374 10141 
545855 177537 11165 
595846 194221 12227 
644802 210330 13219 
693898 226401 14162 
743210 242888 15149 
793104 258831 16207 
842577 275172 17245 
892166 291352 18250  

theta = -30°

47178 15865 1018 
93659 32184 2038 
140924 48357 3043 
186902 64495 3997 
233938 81043 5104 
281099 97614 6184 
326601 113893 7097 
373204 129693 8065 
419444 145978 9031 
466992 162327 10155 
514169 179092 11255 
560870 195298 12225 
607647 211239 13291 
654620 227532 14251 
700634 243795 15196 
747362 259656 16170 
794786 276462 17188 
841645 292459 18119  

theta = -40°

44982 15957 926 
89726 32113 1900 
134768 47911 2828 
180051 63706 3767 
224046 79739 4678 
270080 96175 5734 
315507 112025 6747 
360902 128074 7782 
406026 144387 8792 
449958 160411 9716 
494430 176109 10610 
540108 191848 11591 
585885 207517 12573 
631136 223362 13510 
677037 239702 14490 
723210 256113 15557 
768108 272622 16605 
813352 288632 17614  

theta = -50°

46685 15621 885 
92661 31771 1745 
139684 47750 2745 
187178 63767 3695 
232914 79809 4609 
279595 95546 5533 
325661 111186 6387 
371802 126897 7290 
417962 142923 8140 
464334 158529 9002 
510314 174143 9849 
556359 190071 10738 
602673 206085 11687 
649294 222223 12601 
695659 238100 13492 
742518 253848 14442 
788628 269688 15348 
834695 285474 16191

theta = -60°

50348 15888 897 
100236 32060 1669 
150647 47967 2503 
200495 63631 3288 
250791 79500 4126 
302390 95132 4987 
353376 110787 5900 
403959 126755 6834 
454534 142876 7696 
505076 158920 8516 
555990 174576 9312 
606529 190664 10215 
656913 206794 11077 
707798 222766 11939 
758330 238815 12752 
808491 254555 13524 
857916 270361 14254 
909154 286147 15122 

theta = -70°

53404 15735 796 
106070 31601 1620 
158911 47696 2409 
211473 63609 3216 
263579 79908 3957 
316776 95566 4754 
371114 111341 5647 
424092 127179 6506 
477222 142869 7304 
529343 158543 8022 
582044 174649 8819 
636009 190402 9594 
689086 206497 10427 
742523 222352 11253 
796432 238068 12065 
848911 253673 12801 
902917 269823 13671 
956873 285184 14416  

theta = -80°

69723 15482 827 
139913 31316 1633 
209542 47079 2427 
279553 62289 3192 
349230 78121 3953 
418505 93855 4710 
488505 109400 5546 
557735 125232 6310 
627630 141245 7090 
696787 156830 7908 
767707 172857 8804 
837511 188834 9621 
905553 204923 10361 
974658 220732 11143 
1044227 236472 11924 
1114308 252212 12725 
1183072 268022 13479 
1252993 283840 14263  

theta = -90°

80608 16059 786 
160119 32075 1558 
240055 47864 2308 
321599 63844 3123 
401756 79490 3906 
482714 95309 4714 
564055 110960 5542 
643999 126800 6244 
725635 142361 7036 
806537 158480 7792 
887030 174535 8603 
967243 190084 9322 
1048058 205672 10066 
1127598 221287 10811 
1207531 236770 11571 
1287770 252830 12372 
1368995 268966 13204 
1449342 284970 13984  

* Rotazioni verso Sud

theta = 10°

52831 16197 1023 
106541 32513 1929 
160105 48859 2966 
214572 65486 3977 
267623 81714 4942 
321215 97970 5903 
374408 114267 6860 
427679 130572 7843 
480633 147147 8858 
534216 164240 9996 
587177 180458 10905 
640592 196828 11855 
693523 213453 12886 
746373 230243 13935 
799902 246937 15052 
851963 263359 16024 
904368 279688 17048 
956772 296047 17994  

theta = 20°

53523 16645 1048 
106981 33025 2028 
161267 49412 3086 
215298 65459 4082 
268301 81718 4976 
322740 98536 6075 
375640 114803 7029 
429543 131061 7973 
482605 147575 8961 
536121 164447 10080 
590359 180823 11060 
642881 197124 12027 
695335 213210 12933 
748369 229522 13923 
801202 245944 14848 
853861 262386 15754 
907749 279061 16744 
955784 295344 17799 

theta = 30°

58314 16385 1011 
115997 32819 1943 
173304 49057 2873 
230217 65235 3743 
288383 82087 4729 
345488 98358 5590 
402802 115007 6520 
460393 131455 7424 
518969 148408 8386 
577028 164739 9350 
634660 181183 10281 
692605 197236 11228 
750605 213569 12196 
807867 230243 13099 
865422 246803 14066 
923018 262880 14998 
981114 279669 15992 
1039582 296053 16962  

theta = 40°

65221 16161 879 
129508 32490 1702 
194624 49232 2575 
259328 65366 3501 
323506 81451 4388 
388824 98013 5362 
453215 114568 6265 
518352 130699 7122 
583020 147151 7949 
647269 163466 8817 
712580 179780 9715 
776566 196185 10618 
841460 212719 11589 
906942 229518 12579 
972608 245879 13500 
1038359 262322 14435 
1103018 278910 15296 
1168528 295327 16302 

theta = 50°

65162 16065 847 
131053 32312 1726 
196854 48736 2574 
261572 65163 3471 
326638 81365 4338 
391542 97333 5152 
456549 113410 6029 
521766 130068 6887 
586705 146372 7750 
651688 162589 8581 
717117 178179 9367 
782431 194121 10184 
847846 210448 11043 
912735 226726 11876 
978216 242955 12664 
1042977 259235 13560 
1108420 275273 14347 
1174593 291052 15125 

theta = 60°

62954 15983 681 
125602 31838 1368 
189059 47867 2086 
252943 64110 2813 
316937 80040 3540 
381216 96249 4261 
444588 112844 4976 
509231 129106 5777 
573923 144915 6445 
639218 160790 7140 
704386 176676 7890 
769658 192790 8687 
834332 208726 9434 
899013 224616 10147 
963153 240912 10853 
1029822 256738 11638 
1095014 272784 12300 
1158305 289004 13010 

theta = 70°

66365 15720 651 
133302 31289 1390 
200260 46966 2025 
267072 63074 2727 
333480 79237 3413 
400246 95680 4083 
466744 111408 4786 
533562 127248 5442 
599977 142746 6073 
666683 158282 6751 
733296 174060 7447 
800360 190142 8173 
868753 206135 8873 
934638 221855 9499 
1001148 237949 10217 
1068064 253933 10942 
1135826 269865 11659 
1204020 285849 12397  

theta = 80°

65441 15471 604 
134317 31245 1239 
203663 46283 1845 
273237 61977 2445 
343161 77720 3085 
412893 93443 3734 
482518 109306 4342 
552655 125163 4948 
622569 141328 5612 
692920 157179 6239 
763563 172663 6896 
834291 188493 7555 
903336 204405 8225 
973228 220018 8833 
1042818 236375 9499 
1112361 252349 10126 
1182295 268047 10777 
1252143 283966 11446 

theta = 90°

76338 15556 610 
150010 31208 1139 
225901 47061 1776 
301109 62854 2378 
376593 78853 3057 
452212 94170 3635 
526870 109635 4152 
602319 125223 4725 
678327 140832 5312 
753275 156686 5943 
828724 172674 6539 
903541 188283 7162 
979983 204251 7848 
1055700 219616 8422 
1131816 235566 9097 
1207649 251377 9700 
1283538 266928 10299 
1358241 282350 10846  
